Body_Type,Gender,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_Efficiency,CarbonEmission
obese,female,vegan,more frequently,electricity,public,sometimes,273,very frequently,1138,extra large,2,9,4,8,Sometimes,2015
obese,male,vegetarian,twice a day,electricity,walk/bicycle,often,107,very frequently,32,medium,2,21,4,20,Yes,2305
obese,male,vegetarian,twice a day,wood,walk/bicycle,never,227,frequently,50,extra large,7,15,32,24,No,3307
obese,male,omnivore,less frequently,coal,walk/bicycle,often,195,rarely,26,extra large,2,13,28,16,Yes,1988
underweight,female,vegetarian,daily,wood,private,sometimes,229,rarely,2349,small,6,1,28,6,Yes,1633
overweight,female,vegetarian,twice a day,electricity,public,never,215,never,1913,extra large,3,12,17,7,Yes,1210
normal,female,pescatarian,less frequently,wood,public,often,136,very frequently,830,large,1,12,16,5,Sometimes,2175
underweight,male,omnivore,twice a day,natural gas,private,sometimes,283,frequently,3583,large,6,14,13,23,Sometimes,3067
overweight,male,vegan,more frequently,electricity,public,never,174,very frequently,1804,small,1,23,17,24,Sometimes,2416
overweight,female,vegetarian,less frequently,electricity,private,sometimes,209,rarely,2763,large,1,0,24,11,Yes,1504
obese,female,omnivore,daily,wood,public,never,291,never,1615,large,7,1,33,0,No,2095
obese,female,vegan,daily,wood,walk/bicycle,often,219,rarely,32,medium,5,17,50,10,Yes,1966
overweight,male,vegetarian,twice a day,wood,public,often,284,frequently,589,extra large,5,6,3,20,No,2442
overweight,male,omnivore,more frequently,wood,private,often,72,rarely,5806,small,4,15,7,17,Sometimes,2772
normal,male,omnivore,less frequently,wood,public,often,154,frequently,196,small,4,15,33,13,Yes,2176
normal,male,vegetarian,more frequently,wood,walk/bicycle,often,242,rarely,82,large,7,20,7,0,Yes,1572
underweight,female,vegan,less frequently,natural gas,private,sometimes,184,never,4676,large,1,13,4,2,No,1973
underweight,male,vegetarian,daily,natural gas,walk/bicycle,often,141,frequently,44,small,2,9,2,9,Yes,1381
normal,female,pescatarian,more frequently,natural gas,public,often,286,rarely,1214,medium,2,15,10,24,Yes,1345
normal,male,vegan,daily,natural gas,public,often,99,rarely,1346,small,7,18,4,1,Yes,1267
obese,male,pescatarian,less frequently,coal,private,sometimes,121,never,667,medium,4,11,8,11,No,1499
normal,male,vegan,more frequently,natural gas,walk/bicycle,never,257,never,44,extra large,6,18,43,13,Yes,1816
normal,male,pescatarian,twice a day,electricity,walk/bicycle,often,71,rarely,51,extra large,1,5,42,1,Sometimes,1292
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,often,135,frequently,49,large,1,5,0,9,Sometimes,1343
underweight,male,omnivore,twice a day,natural gas,public,sometimes,107,never,495,extra large,1,2,23,8,No,1056
overweight,male,pescatarian,less frequently,wood,private,often,144,rarely,2567,medium,1,9,41,10,Sometimes,2304
overweight,male,omnivore,less frequently,wood,private,never,163,very frequently,8194,small,6,21,21,14,Yes,4790
obese,female,vegetarian,less frequently,natural gas,public,sometimes,124,never,295,extra large,7,22,24,17,Sometimes,2022
obese,male,omnivore,more frequently,electricity,public,often,273,never,1032,small,7,7,13,18,Yes,1661
normal,female,pescatarian,less frequently,natural gas,public,sometimes,151,rarely,1202,small,3,9,0,4,No,783
obese,male,vegan,more frequently,electricity,private,never,268,frequently,868,extra large,3,22,41,1,Sometimes,2358
overweight,male,pescatarian,less frequently,electricity,private,never,162,frequently,5254,large,1,9,22,9,No,3786
normal,male,vegan,less frequently,coal,walk/bicycle,often,212,never,11,large,3,2,18,10,Sometimes,1286
underweight,male,vegan,less frequently,wood,walk/bicycle,often,79,never,63,extra large,2,24,31,13,No,1308
underweight,male,vegetarian,daily,wood,public,often,63,frequently,1597,extra large,7,4,50,3,Sometimes,2970
normal,male,vegan,more frequently,natural gas,walk/bicycle,never,109,frequently,69,extra large,1,1,50,16,No,2087
underweight,male,vegan,daily,electricity,walk/bicycle,sometimes,200,rarely,78,small,1,12,1,15,Sometimes,559
overweight,female,omnivore,less frequently,wood,private,often,119,frequently,9368,medium,4,1,34,21,Yes,4656
overweight,male,pescatarian,more frequently,coal,private,never,57,very frequently,6179,medium,6,14,42,8,No,5037
obese,female,pescatarian,more frequently,natural gas,private,never,218,frequently,6505,extra large,6,23,24,0,Yes,2400
obese,female,omnivore,twice a day,coal,private,often,192,rarely,9487,small,7,24,18,9,Yes,4261
normal,female,omnivore,more frequently,natural gas,walk/bicycle,sometimes,114,very frequently,10,large,6,3,6,15,No,2282
underweight,female,omnivore,daily,coal,private,never,254,frequently,4244,extra large,1,20,31,3,No,2894
normal,male,vegan,daily,wood,walk/bicycle,sometimes,153,never,19,extra large,2,23,41,9,Sometimes,1354
underweight,female,omnivore,daily,electricity,private,sometimes,233,never,7843,small,1,0,26,23,Sometimes,2483
normal,male,pescatarian,more frequently,coal,private,often,270,never,4242,medium,5,17,9,23,Sometimes,2859
normal,female,vegetarian,more frequently,electricity,walk/bicycle,sometimes,254,frequently,20,large,5,14,33,17,Yes,1862
overweight,male,vegetarian,less frequently,electricity,private,never,93,very frequently,1760,small,3,12,11,4,Yes,2105
obese,female,omnivore,twice a day,wood,private,sometimes,156,very frequently,859,medium,2,16,14,15,Sometimes,2649
obese,male,vegan,more frequently,wood,walk/bicycle,often,254,frequently,98,extra large,1,8,5,22,Yes,2029
underweight,male,omnivore,twice a day,electricity,public,never,185,rarely,700,large,1,3,39,6,No,1181
underweight,male,pescatarian,less frequently,natural gas,private,never,73,rarely,1701,small,2,1,26,13,No,1224
normal,male,pescatarian,less frequently,electricity,public,often,125,never,132,medium,7,19,19,0,Sometimes,1128
underweight,male,pescatarian,twice a day,electricity,public,never,194,very frequently,1582,small,3,14,34,10,No,2393
overweight,male,vegetarian,less frequently,electricity,walk/bicycle,sometimes,188,frequently,44,small,1,1,17,1,Sometimes,1276
overweight,female,vegan,daily,electricity,walk/bicycle,often,250,never,34,small,6,5,6,22,No,842
normal,male,pescatarian,daily,electricity,walk/bicycle,sometimes,129,rarely,56,medium,5,11,13,2,No,1174
normal,female,vegan,less frequently,electricity,walk/bicycle,sometimes,72,very frequently,92,extra large,4,18,3,0,No,1841
obese,female,vegan,twice a day,coal,private,sometimes,214,never,9965,medium,1,15,27,16,No,3804
normal,female,omnivore,twice a day,wood,public,sometimes,166,very frequently,418,medium,5,16,4,1,Sometimes,2270
normal,male,vegetarian,less frequently,natural gas,private,sometimes,268,very frequently,8277,small,3,10,20,7,Yes,4584
obese,female,vegan,daily,natural gas,public,never,133,frequently,664,small,7,19,50,6,Yes,2361
underweight,male,pescatarian,less frequently,natural gas,walk/bicycle,never,252,frequently,39,small,2,19,35,2,Sometimes,1727
underweight,male,vegan,less frequently,natural gas,public,never,189,frequently,119,medium,6,6,33,17,Yes,1773
underweight,female,vegetarian,twice a day,coal,public,never,119,frequently,210,small,2,24,8,10,Sometimes,1164
overweight,male,pescatarian,more frequently,electricity,walk/bicycle,never,137,never,55,large,7,7,5,17,No,1359
obese,female,omnivore,daily,coal,walk/bicycle,sometimes,85,very frequently,34,medium,2,9,8,11,No,2363
obese,male,omnivore,daily,electricity,private,never,211,never,2597,small,6,20,34,8,Sometimes,2259
obese,female,vegetarian,less frequently,natural gas,private,never,219,never,6919,extra large,1,16,13,23,Yes,3053
normal,female,omnivore,twice a day,coal,private,never,71,rarely,2536,medium,5,1,36,21,Yes,1635
normal,male,vegetarian,twice a day,electricity,public,never,239,never,936,extra large,3,2,16,24,Sometimes,1261
overweight,female,omnivore,more frequently,coal,private,never,112,never,8098,extra large,6,3,35,4,No,3942
overweight,female,vegetarian,more frequently,wood,public,never,144,very frequently,492,small,5,7,16,1,Yes,2086
underweight,female,vegan,less frequently,electricity,private,sometimes,111,rarely,2893,large,6,13,16,10,Sometimes,1732
underweight,female,vegetarian,twice a day,coal,private,often,297,never,4733,small,2,16,43,7,Sometimes,2356
overweight,male,pescatarian,daily,coal,public,sometimes,102,very frequently,321,large,3,4,38,19,Sometimes,3436
underweight,female,vegetarian,more frequently,electricity,private,never,288,frequently,8609,small,3,17,5,14,No,2779
normal,female,omnivore,less frequently,coal,public,never,140,very frequently,242,large,3,14,41,7,Sometimes,2711
overweight,male,vegetarian,more frequently,electricity,walk/bicycle,often,222,very frequently,17,medium,5,22,17,1,Yes,2212
normal,male,omnivore,twice a day,coal,public,often,274,rarely,789,medium,6,6,41,5,Yes,2263
underweight,female,pescatarian,daily,electricity,private,sometimes,164,rarely,1884,medium,4,21,46,10,Sometimes,1861
obese,female,vegetarian,daily,electricity,public,sometimes,163,rarely,840,extra large,1,1,26,23,Sometimes,1283
normal,male,omnivore,less frequently,electricity,private,never,191,rarely,6079,small,5,18,43,18,Yes,3219
normal,female,omnivore,more frequently,electricity,private,often,69,very frequently,8136,extra large,6,24,6,16,Sometimes,2404
obese,female,omnivore,less frequently,coal,private,often,268,never,398,medium,5,8,9,2,Yes,1754
normal,female,vegan,twice a day,coal,public,often,251,very frequently,737,large,3,10,30,20,No,2694
normal,female,pescatarian,daily,wood,private,never,271,very frequently,555,small,7,18,0,1,Yes,2278
obese,female,vegetarian,twice a day,electricity,private,never,120,frequently,3807,medium,5,14,50,5,No,3161
normal,female,pescatarian,daily,coal,private,often,115,rarely,2081,small,3,11,29,4,Sometimes,1674
overweight,male,vegan,less frequently,wood,private,sometimes,144,frequently,7827,large,2,14,23,10,No,3630
overweight,female,vegetarian,twice a day,wood,private,sometimes,215,rarely,7044,small,5,15,26,14,Yes,3143
obese,female,pescatarian,less frequently,electricity,public,sometimes,181,rarely,1291,medium,1,20,43,13,No,1462
obese,female,vegan,twice a day,wood,public,never,173,rarely,792,small,2,22,50,11,No,1793
obese,female,vegan,less frequently,electricity,walk/bicycle,never,166,rarely,65,medium,3,14,24,13,No,968
normal,female,omnivore,twice a day,coal,walk/bicycle,sometimes,237,never,59,extra large,1,1,20,0,Sometimes,1265
obese,female,omnivore,daily,natural gas,walk/bicycle,often,246,rarely,94,large,5,19,8,0,Yes,1879
obese,male,vegan,more frequently,electricity,public,often,52,frequently,104,medium,4,22,31,24,No,2457
normal,male,pescatarian,daily,natural gas,walk/bicycle,sometimes,180,frequently,74,large,3,12,13,19,Sometimes,1813
obese,female,vegetarian,twice a day,coal,public,never,137,very frequently,1844,small,1,22,20,22,Sometimes,2676
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,sometimes,149,very frequently,86,medium,6,23,34,8,Sometimes,2656
normal,female,vegan,more frequently,wood,walk/bicycle,often,247,rarely,74,small,7,3,17,22,Yes,1371
underweight,male,pescatarian,twice a day,coal,walk/bicycle,never,95,very frequently,29,large,6,2,5,0,Sometimes,2487
overweight,female,omnivore,less frequently,wood,private,never,86,rarely,5541,small,3,24,0,17,Sometimes,2522
obese,female,omnivore,less frequently,electricity,private,sometimes,267,frequently,6807,large,6,11,46,17,Sometimes,4709
overweight,female,omnivore,twice a day,wood,private,never,223,frequently,74,extra large,5,24,20,24,Yes,2543
normal,female,omnivore,twice a day,natural gas,public,never,77,never,614,medium,7,1,17,16,No,1110
overweight,male,vegan,twice a day,wood,public,sometimes,292,rarely,382,small,6,18,43,22,Sometimes,1728
underweight,male,pescatarian,twice a day,natural gas,public,never,299,never,1840,large,6,23,23,2,Yes,1471
obese,female,vegan,twice a day,wood,public,sometimes,275,very frequently,733,medium,1,17,22,6,Sometimes,2597
obese,male,pescatarian,daily,electricity,private,sometimes,241,rarely,3581,small,5,0,22,9,Sometimes,2775
obese,female,vegan,less frequently,coal,private,never,279,very frequently,8125,extra large,1,10,20,13,No,4442
normal,male,omnivore,more frequently,natural gas,walk/bicycle,often,282,never,99,large,6,10,28,14,Sometimes,2190
underweight,male,pescatarian,less frequently,coal,walk/bicycle,often,183,rarely,0,small,4,14,49,2,Sometimes,1801
underweight,male,vegan,twice a day,wood,walk/bicycle,sometimes,136,never,10,extra large,4,17,7,16,Sometimes,1151
underweight,male,vegetarian,more frequently,coal,walk/bicycle,sometimes,146,frequently,0,small,6,9,13,13,No,1947
normal,male,vegan,less frequently,natural gas,public,often,55,never,1082,medium,3,19,0,24,Sometimes,910
normal,male,pescatarian,less frequently,wood,public,never,86,frequently,884,medium,6,20,40,1,No,2227
normal,female,vegan,less frequently,electricity,private,often,296,very frequently,5817,medium,2,1,35,1,Yes,3628
normal,female,vegetarian,daily,natural gas,walk/bicycle,often,94,very frequently,73,small,6,1,16,23,No,2085
obese,male,vegetarian,daily,wood,public,sometimes,107,never,1992,extra large,4,13,12,3,Sometimes,1622
normal,male,vegan,twice a day,coal,walk/bicycle,often,72,rarely,56,extra large,1,14,15,17,Sometimes,1331
overweight,female,vegetarian,more frequently,electricity,private,never,178,rarely,8806,extra large,7,18,19,10,Yes,4092
obese,male,vegan,less frequently,wood,private,never,283,very frequently,1167,small,3,23,44,4,Sometimes,3542
normal,female,vegetarian,more frequently,electricity,private,often,283,frequently,6597,extra large,5,17,45,8,Sometimes,2169
underweight,female,omnivore,less frequently,electricity,walk/bicycle,sometimes,103,frequently,47,extra large,6,6,7,8,Yes,1561
overweight,male,pescatarian,daily,coal,walk/bicycle,never,240,frequently,81,medium,2,22,30,6,Yes,2239
obese,male,vegan,more frequently,natural gas,walk/bicycle,often,228,frequently,71,medium,1,24,29,17,No,2158
obese,female,pescatarian,less frequently,wood,public,never,69,rarely,1804,large,1,6,3,7,No,1024
underweight,female,omnivore,less frequently,coal,walk/bicycle,never,188,very frequently,0,large,6,9,36,18,Sometimes,2647
normal,male,vegan,daily,coal,private,often,98,very frequently,8061,small,7,14,18,4,Sometimes,4580
overweight,female,pescatarian,more frequently,wood,private,never,233,very frequently,3805,large,2,14,15,20,Yes,3171
obese,male,vegetarian,daily,wood,private,often,185,rarely,2077,extra large,1,11,30,20,No,2626
obese,female,pescatarian,less frequently,natural gas,private,sometimes,281,frequently,1978,extra large,6,9,31,17,Sometimes,3601
overweight,female,vegan,daily,electricity,public,sometimes,130,rarely,1937,medium,4,1,10,11,Sometimes,920
normal,male,omnivore,twice a day,electricity,walk/bicycle,never,271,never,59,large,7,1,3,4,Yes,1352
normal,male,omnivore,twice a day,electricity,private,never,190,very frequently,6654,extra large,1,15,44,16,No,4437
underweight,female,omnivore,less frequently,electricity,walk/bicycle,sometimes,58,frequently,25,medium,7,12,16,10,Sometimes,1376
normal,female,pescatarian,less frequently,wood,public,sometimes,157,frequently,465,medium,6,9,32,6,No,1942
obese,male,pescatarian,twice a day,wood,walk/bicycle,often,255,very frequently,96,extra large,7,19,15,18,No,3927
normal,male,vegan,less frequently,electricity,private,never,221,frequently,2188,medium,6,20,18,16,Sometimes,2071
underweight,male,omnivore,less frequently,electricity,private,never,68,rarely,9691,extra large,5,1,50,19,No,1656
underweight,female,omnivore,less frequently,natural gas,private,never,125,rarely,3849,small,7,14,7,6,Yes,1423
obese,female,vegan,less frequently,coal,public,never,275,never,840,large,6,16,0,12,Sometimes,1319
underweight,female,omnivore,twice a day,electricity,private,often,219,rarely,5788,small,3,11,37,8,Yes,1172
normal,female,omnivore,more frequently,natural gas,walk/bicycle,sometimes,129,frequently,82,small,7,17,34,11,Sometimes,1993
overweight,male,vegan,more frequently,wood,walk/bicycle,never,140,frequently,1,large,6,9,24,24,No,2456
overweight,male,vegan,less frequently,wood,private,never,188,frequently,553,extra large,3,4,14,0,Sometimes,1929
obese,male,pescatarian,daily,electricity,public,sometimes,86,never,1480,large,4,5,35,8,Yes,1377
overweight,female,vegan,twice a day,coal,walk/bicycle,sometimes,236,rarely,42,extra large,2,19,15,10,Yes,1364
normal,male,omnivore,twice a day,coal,private,sometimes,211,very frequently,9626,medium,2,0,24,9,Sometimes,4181
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,never,164,never,88,small,5,17,41,9,Yes,1556
obese,male,vegetarian,twice a day,wood,private,sometimes,145,very frequently,6659,extra large,2,20,25,15,No,5502
normal,male,vegetarian,less frequently,electricity,walk/bicycle,never,262,very frequently,21,extra large,3,10,43,19,Yes,2522
obese,female,vegetarian,twice a day,coal,walk/bicycle,often,132,never,6,large,3,15,42,12,Yes,2068
normal,female,vegan,daily,wood,private,sometimes,128,rarely,783,large,5,10,32,17,Sometimes,1655
underweight,female,vegan,twice a day,wood,private,never,63,never,7569,medium,7,0,39,23,No,2147
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,often,114,rarely,9,extra large,3,9,38,5,No,1892
underweight,male,vegetarian,daily,coal,walk/bicycle,often,255,rarely,41,large,2,15,44,7,No,1819
underweight,male,pescatarian,less frequently,electricity,public,never,118,never,959,medium,3,3,30,3,Sometimes,848
obese,female,vegetarian,less frequently,coal,walk/bicycle,often,123,rarely,43,large,4,23,10,4,No,1786
overweight,female,vegetarian,more frequently,wood,private,sometimes,141,never,6094,large,1,18,7,11,Yes,2718
underweight,male,vegetarian,more frequently,coal,public,never,176,frequently,1798,medium,4,7,0,24,No,1680
obese,male,vegetarian,twice a day,coal,public,often,123,frequently,1715,small,6,10,35,4,Yes,2940
overweight,female,omnivore,twice a day,wood,public,often,181,very frequently,656,small,3,19,30,8,Sometimes,2450
overweight,male,vegan,daily,electricity,private,sometimes,270,very frequently,3176,medium,5,24,16,0,Sometimes,3045
overweight,female,pescatarian,daily,natural gas,public,often,135,never,356,medium,4,9,34,19,No,1409
normal,female,vegetarian,daily,coal,private,never,72,rarely,8521,extra large,2,23,44,19,No,3645
normal,male,omnivore,daily,wood,public,never,171,frequently,1632,small,2,1,8,4,Sometimes,1353
normal,female,vegetarian,twice a day,wood,private,sometimes,167,very frequently,1083,small,3,22,18,20,Yes,2307
underweight,male,pescatarian,daily,wood,public,often,113,rarely,809,small,4,15,33,7,Yes,1510
underweight,female,pescatarian,twice a day,coal,walk/bicycle,often,156,rarely,63,small,2,4,39,10,Sometimes,1437
normal,female,omnivore,twice a day,natural gas,public,often,117,never,37,medium,3,0,1,23,Yes,995
obese,female,vegan,less frequently,natural gas,public,sometimes,264,frequently,141,medium,2,11,19,5,Sometimes,1559
overweight,female,vegan,twice a day,electricity,public,sometimes,192,frequently,1219,extra large,1,6,17,23,Yes,1503
overweight,male,vegan,more frequently,natural gas,public,often,292,rarely,1789,large,7,11,12,23,No,2196
obese,female,omnivore,twice a day,wood,public,sometimes,266,very frequently,1020,small,7,21,12,6,Sometimes,2898
obese,male,vegan,less frequently,natural gas,public,never,265,rarely,1959,large,5,24,8,22,Sometimes,1826
overweight,female,pescatarian,twice a day,electricity,private,sometimes,54,frequently,5793,small,2,24,33,17,Sometimes,3585
overweight,female,vegan,less frequently,coal,public,often,140,frequently,1624,extra large,7,19,8,15,No,2698
normal,female,omnivore,more frequently,electricity,walk/bicycle,never,205,never,74,large,3,6,2,19,No,810
obese,female,vegetarian,more frequently,natural gas,walk/bicycle,never,292,rarely,94,small,6,23,29,2,No,1262
underweight,male,vegan,less frequently,coal,private,never,144,frequently,4771,extra large,4,15,18,8,Sometimes,2014
underweight,male,omnivore,daily,wood,public,often,159,very frequently,77,small,3,8,40,3,Sometimes,2781
normal,male,vegan,daily,coal,walk/bicycle,never,238,very frequently,3,large,1,23,36,10,Sometimes,2720
underweight,male,vegan,daily,wood,private,never,191,never,3297,medium,2,3,15,20,No,1775
obese,male,vegetarian,daily,wood,public,never,87,rarely,1484,small,4,21,34,2,Sometimes,1497
overweight,female,omnivore,twice a day,natural gas,walk/bicycle,sometimes,255,rarely,66,extra large,1,3,41,14,Yes,1761
underweight,female,vegetarian,more frequently,natural gas,walk/bicycle,never,263,never,53,medium,5,1,19,13,Sometimes,1161
overweight,male,pescatarian,daily,coal,public,often,126,frequently,1595,small,1,4,7,0,Yes,1956
normal,male,vegan,daily,wood,public,never,63,very frequently,1962,small,7,12,38,7,Sometimes,2838
normal,female,omnivore,more frequently,electricity,private,often,151,frequently,4923,medium,3,11,31,21,No,2529
normal,male,vegetarian,twice a day,coal,private,sometimes,54,very frequently,5846,small,1,23,24,14,No,3610
normal,male,pescatarian,less frequently,coal,public,never,244,frequently,441,small,7,21,38,16,Yes,2262
underweight,male,vegetarian,daily,natural gas,public,never,152,never,1047,extra large,6,11,21,5,Yes,1434
obese,female,omnivore,less frequently,electricity,walk/bicycle,often,190,very frequently,98,medium,7,23,27,1,Sometimes,2650
overweight,female,omnivore,twice a day,wood,walk/bicycle,sometimes,86,very frequently,26,large,3,13,20,3,Sometimes,2372
normal,female,pescatarian,less frequently,electricity,private,sometimes,228,never,6574,extra large,5,19,23,1,No,3263
underweight,female,omnivore,daily,electricity,private,never,268,very frequently,954,extra large,1,21,41,11,No,2387
obese,male,pescatarian,daily,wood,public,never,215,very frequently,343,medium,4,11,12,20,Sometimes,3143
overweight,male,omnivore,daily,coal,private,never,79,never,9089,extra large,2,5,23,16,Sometimes,4144
normal,male,vegan,twice a day,wood,walk/bicycle,never,98,frequently,92,extra large,3,15,20,23,Yes,2096
overweight,male,vegetarian,less frequently,wood,private,often,123,frequently,8912,small,4,8,7,1,Sometimes,4005
obese,male,vegan,more frequently,electricity,public,often,290,frequently,1555,small,5,13,19,1,Sometimes,1954
obese,male,omnivore,twice a day,wood,public,never,155,rarely,1540,medium,1,6,21,11,Yes,1467
obese,female,vegan,more frequently,electricity,private,never,166,frequently,7793,small,2,21,5,5,Sometimes,4158
normal,female,vegan,daily,coal,walk/bicycle,often,136,rarely,43,small,1,4,42,2,No,1380
normal,female,vegan,less frequently,natural gas,public,often,112,never,1791,medium,3,3,18,10,Sometimes,948
overweight,female,vegetarian,daily,electricity,walk/bicycle,sometimes,298,very frequently,96,extra large,5,11,5,24,Yes,2377
obese,male,pescatarian,less frequently,coal,public,never,151,very frequently,113,medium,5,23,1,0,No,3071
underweight,female,omnivore,daily,coal,walk/bicycle,never,155,never,57,small,6,19,37,24,Yes,1233
normal,female,omnivore,less frequently,coal,private,often,76,rarely,3392,medium,4,14,15,7,Yes,1283
obese,female,vegetarian,more frequently,coal,walk/bicycle,often,259,very frequently,8,extra large,6,11,15,19,No,3579
obese,male,vegetarian,daily,coal,public,sometimes,268,frequently,1393,extra large,7,6,30,23,No,3738
overweight,male,vegetarian,more frequently,coal,private,often,120,very frequently,4469,small,3,12,40,3,Sometimes,4492
obese,female,vegetarian,daily,coal,private,sometimes,57,very frequently,5157,extra large,2,6,20,16,No,3842
underweight,male,vegan,twice a day,electricity,private,sometimes,284,never,2236,medium,3,4,50,22,No,2360
obese,female,omnivore,daily,wood,public,never,68,very frequently,973,small,3,24,15,21,Yes,2421
obese,female,omnivore,more frequently,natural gas,walk/bicycle,often,199,frequently,18,extra large,1,20,7,8,No,1883
overweight,female,pescatarian,twice a day,electricity,public,never,114,very frequently,1855,small,1,14,28,20,No,2195
overweight,male,vegan,less frequently,coal,public,never,161,rarely,1785,medium,6,6,29,14,Sometimes,1870
overweight,female,omnivore,daily,natural gas,walk/bicycle,often,116,rarely,86,small,6,12,43,14,Sometimes,1605
normal,male,omnivore,twice a day,coal,private,sometimes,253,frequently,6344,extra large,1,15,30,3,Yes,3068
overweight,female,omnivore,more frequently,wood,public,sometimes,50,frequently,1779,large,6,23,26,4,No,2363
underweight,female,omnivore,daily,wood,walk/bicycle,never,262,very frequently,2,small,6,1,1,19,No,1959
normal,male,vegan,less frequently,coal,walk/bicycle,sometimes,124,rarely,13,small,7,12,36,14,Sometimes,1747
normal,male,pescatarian,more frequently,coal,public,never,185,never,1247,small,1,14,31,5,Yes,1284
underweight,female,pescatarian,daily,wood,public,sometimes,202,very frequently,1292,extra large,3,11,19,0,Yes,2013
overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,never,247,never,31,small,7,19,27,23,No,1243
normal,male,omnivore,twice a day,coal,walk/bicycle,often,182,never,23,large,6,13,20,16,No,1968
underweight,female,vegan,twice a day,electricity,public,never,296,rarely,1060,large,5,6,17,9,Yes,1162
underweight,male,omnivore,less frequently,wood,walk/bicycle,never,94,rarely,32,small,6,15,5,17,Sometimes,1002
normal,female,omnivore,less frequently,wood,walk/bicycle,often,288,very frequently,96,small,3,19,17,22,Yes,2351
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,often,227,frequently,80,small,3,24,48,13,No,2248
underweight,male,vegetarian,twice a day,electricity,public,never,230,rarely,1374,large,2,2,26,6,Yes,1094
normal,female,pescatarian,more frequently,coal,public,often,135,frequently,1578,small,5,18,23,13,No,2115
normal,female,vegetarian,twice a day,electricity,walk/bicycle,sometimes,198,never,96,extra large,1,10,41,15,No,1162
normal,female,omnivore,less frequently,coal,public,often,122,frequently,788,small,4,18,13,14,Sometimes,1675
normal,male,vegetarian,twice a day,electricity,private,often,281,frequently,3055,extra large,6,13,39,5,No,3412
normal,female,pescatarian,more frequently,wood,private,often,82,very frequently,4382,medium,2,18,32,14,Sometimes,3292
normal,female,vegan,less frequently,wood,private,often,80,never,3635,large,2,1,11,2,Yes,1265
normal,male,vegetarian,daily,coal,public,sometimes,284,very frequently,1309,large,6,23,42,6,Yes,3543
normal,male,vegetarian,less frequently,natural gas,public,often,244,frequently,806,large,2,20,8,15,Sometimes,1708
underweight,female,vegan,daily,coal,private,often,151,rarely,1703,large,7,2,46,2,No,2409
underweight,female,vegan,twice a day,natural gas,public,often,148,frequently,1935,small,4,23,23,21,No,1678
obese,male,vegan,more frequently,coal,private,often,169,frequently,6979,medium,5,4,34,5,No,4284
overweight,female,vegetarian,twice a day,wood,private,never,109,frequently,5349,large,5,15,46,20,No,3693
normal,male,vegan,less frequently,natural gas,private,often,184,rarely,9930,extra large,4,14,15,3,Sometimes,4167
obese,male,vegetarian,daily,natural gas,walk/bicycle,often,90,very frequently,29,medium,6,18,2,8,No,3206
obese,male,vegetarian,daily,natural gas,public,often,225,frequently,317,small,2,13,15,6,Sometimes,1847
obese,male,omnivore,twice a day,electricity,private,often,281,never,2948,small,4,11,8,1,Sometimes,1903
overweight,male,vegetarian,less frequently,electricity,private,never,281,frequently,8167,small,4,4,18,9,No,3754
underweight,male,pescatarian,daily,natural gas,walk/bicycle,never,92,never,28,extra large,1,13,39,21,Sometimes,1236
underweight,male,pescatarian,less frequently,electricity,public,never,164,never,1745,large,2,24,49,15,No,1156
normal,female,vegan,daily,wood,public,never,56,rarely,1427,large,6,5,13,15,No,1477
underweight,female,vegan,daily,electricity,public,never,259,rarely,870,large,5,1,30,17,No,1198
overweight,male,vegan,twice a day,coal,walk/bicycle,never,175,very frequently,88,medium,3,4,10,7,Sometimes,2607
underweight,male,omnivore,more frequently,coal,private,often,123,very frequently,6731,small,2,7,19,12,Yes,4203
overweight,female,vegetarian,less frequently,wood,public,often,114,frequently,1798,large,1,21,7,16,No,1871
underweight,female,vegetarian,more frequently,natural gas,private,never,279,frequently,8301,extra large,6,22,11,8,No,3727
normal,female,omnivore,twice a day,electricity,public,sometimes,146,very frequently,1604,large,3,2,32,14,No,2279
underweight,female,pescatarian,twice a day,electricity,walk/bicycle,never,160,rarely,29,small,1,12,9,20,Sometimes,648
obese,female,pescatarian,more frequently,wood,public,never,122,very frequently,934,small,4,1,48,22,Sometimes,2853
obese,female,vegetarian,more frequently,natural gas,public,sometimes,184,very frequently,1654,large,1,22,39,24,Yes,2812
obese,female,omnivore,less frequently,natural gas,public,never,233,rarely,1024,extra large,2,14,2,14,No,1548
overweight,male,vegetarian,twice a day,electricity,walk/bicycle,sometimes,161,very frequently,76,extra large,1,18,37,20,No,2815
obese,male,vegetarian,more frequently,wood,private,never,264,frequently,2165,large,2,19,37,21,Sometimes,3226
underweight,female,vegan,more frequently,natural gas,private,never,71,very frequently,320,medium,4,23,28,3,Yes,1797
